,type,description,mean_thickness,mean_pore_size,aging,temperature,delta_pressure,gases_kinetic_diameter,gases_molar_mass,gases_polarizability,Py,in_reference_data_location,reference,url
4,polymer,PI-0.25,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,193.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,polymer,PI-0.50,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,133.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,polymer,PI-0.75,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,105.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,polymer,PI-1.00,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,59.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,polymer,IPI-0.25,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,157.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,polymer,IPI-0.50,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,74.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,polymer,IPI-0.75,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,33.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,polymer,IPI-1.00,50.0,,0.0,308.0,199000.0,260.0,4.0,0.208,11.0,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,polymer,untreated,90.0,,0.0,298.0,100000.0,260.0,4.0,0.208,758.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,polymer,EtOH_25 treaded,110.0,,0.0,298.0,100000.0,260.0,4.0,0.208,1706.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,polymer,EtOH_25 treaded,110.0,,1200.0,298.0,100000.0,260.0,4.0,0.208,1140.0,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,polymer,EtOH_100 treaded,125.4,,2117.0,298.0,100000.0,260.0,4.0,0.208,1128.0,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,polymer,untreated,90.0,,3.998911,298.0,100000.0,260.0,4.0,0.208,779.8514,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,polymer,untreated,90.0,,37.73106,298.0,100000.0,260.0,4.0,0.208,826.3419,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,polymer,untreated,90.0,,248.9525,298.0,100000.0,260.0,4.0,0.208,983.1133,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,polymer,EtOH_25 treaded,110.0,,7.024282,298.0,100000.0,260.0,4.0,0.208,1494.707,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,polymer,EtOH_25 treaded,110.0,,62.81426,298.0,100000.0,260.0,4.0,0.208,1377.378,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,polymer,EtOH_25 treaded,110.0,,571.8492,298.0,100000.0,260.0,4.0,0.208,1218.425,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,polymer,EtOH_75 treaded,110.9054,,2.796417,298.0,100000.0,260.0,4.0,0.208,1206.038,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,polymer,EtOH_75 treaded,110.9054,,27.59159,298.0,100000.0,260.0,4.0,0.208,1157.736,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,polymer,EtOH_75 treaded,110.9054,,185.3366,298.0,100000.0,260.0,4.0,0.208,1096.329,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,polymer,EtOH_125 treaded,132.508,,3.998911,298.0,100000.0,260.0,4.0,0.208,921.5036,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,polymer,EtOH_125 treaded,132.508,,28.85321,298.0,100000.0,260.0,4.0,0.208,930.9683,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
368,polymer,EtOH_125 treaded,132.508,,187.0013,298.0,100000.0,260.0,4.0,0.208,890.644,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
669,polymer,Matrimid5218,,,0.0,308.0,500000.0,260.0,4.0,0.208,23.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,27.7,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,35.2,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
672,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,49.7,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
673,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,500000.0,260.0,4.0,0.208,55.9,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,28.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,38.4,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
676,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,47.3,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,51.8,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,500000.0,260.0,4.0,0.208,55.1,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
689,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,318.0,500000.0,260.0,4.0,0.208,54.2274052478136,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,328.0,500000.0,260.0,4.0,0.208,58.1632653061227,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,338.0,500000.0,260.0,4.0,0.208,66.0349854227409,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,318.0,500000.0,260.0,4.0,0.208,52.4553571428571,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,328.0,500000.0,260.0,4.0,0.208,55.0595238095237,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,338.0,500000.0,260.0,4.0,0.208,58.0357142857143,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,100000.0,260.0,4.0,0.208,59.8240469208211,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,200000.0,260.0,4.0,0.208,58.9442815249266,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,300000.0,260.0,4.0,0.208,58.0645161290322,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,MMM,Cu-BDC/Matrimid5218,,1.05,0.0,308.0,400000.0,260.0,4.0,0.208,52.7859237536656,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,MMM,Cu-BTC/Matrimid5218,,1.12,0.0,308.0,100000.0,260.0,4.0,0.208,59.9850968703428,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
